Run,Gen,Rule,Fitness,calc_fraction_of_friends,distance_from_home_patch,mean_home_utility_of_neighborhood,mean_neighborhood_age,my_tendency_to_move,neighborhood_isolation
0,0.0,( calc-fraction-of-friends (( get-patch-to-evaluate  ) )  ) ,0.03432385567558067,1.0,0.0,0.0,0.0,0.0,0.0
0,0.0,( neighborhood-isolation (( get-patch-to-evaluate  ) )  ) ,0.0,0.0,0.0,0.0,0.0,0.0,1.0
0,0.0,( mean-home-utility-of-neighborhood (( get-patch-to-evaluate  ) )  ) ,0.0,0.0,0.0,1.0,0.0,0.0,0.0
0,0.0,( my-tendency-to-move (( get-patch-to-evaluate  ) )  ) ,0.0,0.0,0.0,0.0,0.0,1.0,0.0
0,0.0,( negate (( calc-fraction-of-friends (( get-patch-to-evaluate  ) )  ) )  ) ,0.0,-1.0,0.0,0.0,0.0,0.0,0.0
0,0.0,( combine (( mean-home-utility-of-neighborhood (( get-patch-to-evaluate  ) )  ) ) (( my-tendency-to-move (( get-patch-to-evaluate  ) )  ) )  ) ,0.0,0.0,0.0,1.0,0.0,1.0,0.0
0,0.0,( my-tendency-to-move (( get-patch-to-evaluate  ) )  ) ,0.0,0.0,0.0,0.0,0.0,1.0,0.0
0,0.0,( negate (( negate (( mean-neighborhood-age (( get-patch-to-evaluate  ) )  ) )  ) )  ) ,0.0,0.0,0.0,0.0,1.0,0.0,0.0
0,0.0,( neighborhood-isolation (( get-patch-to-evaluate  ) )  ) ,0.0,0.0,0.0,0.0,0.0,0.0,1.0
0,0.0,( negate (( calc-fraction-of-friends (( get-patch-to-evaluate  ) )  ) )  ) ,0.0,-1.0,0.0,0.0,0.0,0.0,0.0
0,0.0,( mean-home-utility-of-neighborhood (( get-patch-to-evaluate  ) )  ) ,0.0,0.0,0.0,1.0,0.0,0.0,0.0
0,0.0,( mean-home-utility-of-neighborhood (( get-patch-to-evaluate  ) )  ) ,0.0,0.0,0.0,1.0,0.0,0.0,0.0
0,0.0,( neighborhood-isolation (( get-patch-to-evaluate  ) )  ) ,0.0,0.0,0.0,0.0,0.0,0.0,1.0
0,0.0,( negate (( mean-neighborhood-age (( get-patch-to-evaluate  ) )  ) )  ) ,0.0,0.0,0.0,0.0,-1.0,0.0,0.0
0,0.0,( mean-neighborhood-age (( get-patch-to-evaluate  ) )  ) ,0.0,0.0,0.0,0.0,1.0,0.0,0.0
0,0.0,( neighborhood-isolation (( get-patch-to-evaluate  ) )  ) ,0.0,0.0,0.0,0.0,0.0,0.0,1.0
0,0.0,( calc-fraction-of-friends (( get-patch-to-evaluate  ) )  ) ,0.0267551439064564,1.0,0.0,0.0,0.0,0.0,0.0
0,0.0,( negate (( negate (( combine (( distance-from-home-patch (( get-patch-to-evaluate  ) )  ) ) (( calc-fraction-of-friends (( get-patch-to-evaluate  ) )  ) )  ) )  ) )  ) ,0.06904338466822174,1.0,1.0,0.0,0.0,0.0,0.0
0,0.0,( combine (( combine (( combine (( calc-fraction-of-friends (( get-patch-to-evaluate  ) )  ) ) (( mean-home-utility-of-neighborhood (( get-patch-to-evaluate  ) )  ) )  ) ) (( distance-from-home-patch (( get-patch-to-evaluate  ) )  ) )  ) ) (( distance-from-home-patch (( get-patch-to-evaluate  ) )  ) )  ) ,0.042990276941674864,1.0,2.0,1.0,0.0,0.0,0.0
0,0.0,( neighborhood-isolation (( get-patch-to-evaluate  ) )  ) ,0.0,0.0,0.0,0.0,0.0,0.0,1.0
0,1.0,( mean-home-utility-of-neighborhood (( get-patch-to-evaluate  ) )  ) ,0.0,0.0,0.0,1.0,0.0,0.0,0.0
0,1.0,( calc-fraction-of-friends (( get-patch-to-evaluate  ) )  ) ,0.025710208613006786,1.0,0.0,0.0,0.0,0.0,0.0
