Run,Gen,Rule,Fitness,calc_fraction_of_friends,distance_from_home_patch,mean_home_utility_of_neighborhood,mean_neighborhood_age,my_tendency_to_move,neighborhood_isolation
0,0.0,( distance-from-home-patch (( get-patch-to-evaluate  ) )  ) ,0.0,0.0,1.0,0.0,0.0,0.0,0.0
0,0.0,( mean-neighborhood-age (( get-patch-to-evaluate  ) )  ) ,0.0,0.0,0.0,0.0,1.0,0.0,0.0
0,0.0,( negate (( negate (( distance-from-home-patch (( get-patch-to-evaluate  ) )  ) )  ) )  ) ,0.0,0.0,1.0,0.0,0.0,0.0,0.0
0,0.0,( mean-neighborhood-age (( get-patch-to-evaluate  ) )  ) ,0.0,0.0,0.0,0.0,1.0,0.0,0.0
0,0.0,( neighborhood-isolation (( get-patch-to-evaluate  ) )  ) ,0.0,0.0,0.0,0.0,0.0,0.0,1.0
0,0.0,( combine (( negate (( combine (( calc-fraction-of-friends (( get-patch-to-evaluate  ) )  ) ) (( mean-neighborhood-age (( get-patch-to-evaluate  ) )  ) )  ) )  ) ) (( my-tendency-to-move (( get-patch-to-evaluate  ) )  ) )  ) ,0.0,-1.0,0.0,0.0,1.0,1.0,0.0
0,0.0,( calc-fraction-of-friends (( get-patch-to-evaluate  ) )  ) ,0.013069712881485977,1.0,0.0,0.0,0.0,0.0,0.0
0,0.0,( my-tendency-to-move (( get-patch-to-evaluate  ) )  ) ,0.0,0.0,0.0,0.0,0.0,1.0,0.0
0,0.0,( mean-neighborhood-age (( get-patch-to-evaluate  ) )  ) ,0.0,0.0,0.0,0.0,1.0,0.0,0.0
0,0.0,( mean-home-utility-of-neighborhood (( get-patch-to-evaluate  ) )  ) ,0.0,0.0,0.0,1.0,0.0,0.0,0.0
0,0.0,( mean-neighborhood-age (( get-patch-to-evaluate  ) )  ) ,0.0,0.0,0.0,0.0,1.0,0.0,0.0
0,0.0,( combine (( neighborhood-isolation (( get-patch-to-evaluate  ) )  ) ) (( calc-fraction-of-friends (( get-patch-to-evaluate  ) )  ) )  ) ,0.011589208764265136,1.0,0.0,0.0,0.0,0.0,1.0
0,0.0,( distance-from-home-patch (( get-patch-to-evaluate  ) )  ) ,0.0,0.0,1.0,0.0,0.0,0.0,0.0
0,0.0,( negate (( calc-fraction-of-friends (( get-patch-to-evaluate  ) )  ) )  ) ,0.0,-1.0,0.0,0.0,0.0,0.0,0.0
0,0.0,( calc-fraction-of-friends (( get-patch-to-evaluate  ) )  ) ,0.002484068926675169,1.0,0.0,0.0,0.0,0.0,0.0
0,0.0,( distance-from-home-patch (( get-patch-to-evaluate  ) )  ) ,0.0,0.0,1.0,0.0,0.0,0.0,0.0
0,0.0,( neighborhood-isolation (( get-patch-to-evaluate  ) )  ) ,0.0,0.0,0.0,0.0,0.0,0.0,1.0
0,0.0,( distance-from-home-patch (( get-patch-to-evaluate  ) )  ) ,0.0,0.0,1.0,0.0,0.0,0.0,0.0
0,0.0,( mean-home-utility-of-neighborhood (( get-patch-to-evaluate  ) )  ) ,0.0,0.0,0.0,1.0,0.0,0.0,0.0
0,0.0,( negate (( mean-neighborhood-age (( get-patch-to-evaluate  ) )  ) )  ) ,0.0,0.0,0.0,0.0,-1.0,0.0,0.0
0,1.0,( distance-from-home-patch (( get-patch-to-evaluate  ) )  ) ,0.0,0.0,1.0,0.0,0.0,0.0,0.0
0,1.0,( mean-home-utility-of-neighborhood (( get-patch-to-evaluate  ) )  ) ,0.0,0.0,0.0,1.0,0.0,0.0,0.0
0,1.0,( calc-fraction-of-friends (( get-patch-to-evaluate  ) )  ) ,0.004144150667528456,1.0,0.0,0.0,0.0,0.0,0.0
0,1.0,( calc-fraction-of-friends (( get-patch-to-evaluate  ) )  ) ,0.004343195001887736,1.0,0.0,0.0,0.0,0.0,0.0
0,1.0,( negate (( mean-neighborhood-age (( get-patch-to-evaluate  ) )  ) )  ) ,0.0,0.0,0.0,0.0,-1.0,0.0,0.0
0,1.0,( negate (( calc-fraction-of-friends (( get-patch-to-evaluate  ) )  ) )  ) ,0.0,-1.0,0.0,0.0,0.0,0.0,0.0
0,1.0,( combine (( neighborhood-isolation (( get-patch-to-evaluate  ) )  ) ) (( calc-fraction-of-friends (( get-patch-to-evaluate  ) )  ) )  ) ,0.005100840580106561,1.0,0.0,0.0,0.0,0.0,1.0
0,1.0,( calc-fraction-of-friends (( get-patch-to-evaluate  ) )  ) ,0.0027880482789030604,1.0,0.0,0.0,0.0,0.0,0.0
0,1.0,( neighborhood-isolation (( get-patch-to-evaluate  ) )  ) ,0.0,0.0,0.0,0.0,0.0,0.0,1.0
0,1.0,( combine (( mean-home-utility-of-neighborhood (( get-patch-to-evaluate  ) )  ) ) (( calc-fraction-of-friends (( get-patch-to-evaluate  ) )  ) )  ) ,0.030311971359041224,1.0,0.0,1.0,0.0,0.0,0.0
0,1.0,( distance-from-home-patch (( get-patch-to-evaluate  ) )  ) ,0.0,0.0,1.0,0.0,0.0,0.0,0.0
0,1.0,( calc-fraction-of-friends (( get-patch-to-evaluate  ) )  ) ,0.002632771294722559,1.0,0.0,0.0,0.0,0.0,0.0
0,1.0,( mean-neighborhood-age (( get-patch-to-evaluate  ) )  ) ,0.0,0.0,0.0,0.0,1.0,0.0,0.0
0,1.0,( negate (( negate (( distance-from-home-patch (( get-patch-to-evaluate  ) )  ) )  ) )  ) ,0.0,0.0,1.0,0.0,0.0,0.0,0.0
0,1.0,( my-tendency-to-move (( get-patch-to-evaluate  ) )  ) ,0.0,0.0,0.0,0.0,0.0,1.0,0.0
0,1.0,( mean-neighborhood-age (( get-patch-to-evaluate  ) )  ) ,0.0,0.0,0.0,0.0,1.0,0.0,0.0
0,1.0,( combine (( neighborhood-isolation (( get-patch-to-evaluate  ) )  ) ) (( calc-fraction-of-friends (( get-patch-to-evaluate  ) )  ) )  ) ,0.005697039039398257,1.0,0.0,0.0,0.0,0.0,1.0
0,1.0,( calc-fraction-of-friends (( get-patch-to-evaluate  ) )  ) ,0.005250035918352044,1.0,0.0,0.0,0.0,0.0,0.0
0,1.0,( neighborhood-isolation (( get-patch-to-evaluate  ) )  ) ,0.0,0.0,0.0,0.0,0.0,0.0,1.0
0,1.0,( distance-from-home-patch (( get-patch-to-evaluate  ) )  ) ,0.0,0.0,1.0,0.0,0.0,0.0,0.0
0,2.0,( calc-fraction-of-friends (( get-patch-to-evaluate  ) )  ) ,0.004612183220342829,1.0,0.0,0.0,0.0,0.0,0.0
0,2.0,( neighborhood-isolation (( get-patch-to-evaluate  ) )  ) ,0.0,0.0,0.0,0.0,0.0,0.0,1.0
0,2.0,( calc-fraction-of-friends (( get-patch-to-evaluate  ) )  ) ,0.001967646498872232,1.0,0.0,0.0,0.0,0.0,0.0
0,2.0,( negate (( calc-fraction-of-friends (( get-patch-to-evaluate  ) )  ) )  ) ,0.0,-1.0,0.0,0.0,0.0,0.0,0.0
0,2.0,( combine (( neighborhood-isolation (( get-patch-to-evaluate  ) )  ) ) (( calc-fraction-of-friends (( get-patch-to-evaluate  ) )  ) )  ) ,0.005348337595347001,1.0,0.0,0.0,0.0,0.0,1.0
0,2.0,( calc-fraction-of-friends (( get-patch-to-evaluate  ) )  ) ,0.005238393178549929,1.0,0.0,0.0,0.0,0.0,0.0
0,2.0,( combine (( neighborhood-isolation (( get-patch-to-evaluate  ) )  ) ) (( calc-fraction-of-friends (( get-patch-to-evaluate  ) )  ) )  ) ,0.007053677160322144,1.0,0.0,0.0,0.0,0.0,1.0
0,2.0,( combine (( mean-home-utility-of-neighborhood (( get-patch-to-evaluate  ) )  ) ) (( calc-fraction-of-friends (( get-patch-to-evaluate  ) )  ) )  ) ,0.018776588659636485,1.0,0.0,1.0,0.0,0.0,0.0
0,2.0,( combine (( mean-home-utility-of-neighborhood (( get-patch-to-evaluate  ) )  ) ) (( calc-fraction-of-friends (( get-patch-to-evaluate  ) )  ) )  ) ,0.013524376649355631,1.0,0.0,1.0,0.0,0.0,0.0
0,2.0,( calc-fraction-of-friends (( get-patch-to-evaluate  ) )  ) ,0.001609742242279334,1.0,0.0,0.0,0.0,0.0,0.0
0,2.0,( calc-fraction-of-friends (( get-patch-to-evaluate  ) )  ) ,0.002967905967750737,1.0,0.0,0.0,0.0,0.0,0.0
0,2.0,( calc-fraction-of-friends (( get-patch-to-evaluate  ) )  ) ,0.0035793819118712226,1.0,0.0,0.0,0.0,0.0,0.0
0,2.0,( calc-fraction-of-friends (( get-patch-to-evaluate  ) )  ) ,0.0025759745955613016,1.0,0.0,0.0,0.0,0.0,0.0
0,2.0,( calc-fraction-of-friends (( get-patch-to-evaluate  ) )  ) ,0.002569994020262473,1.0,0.0,0.0,0.0,0.0,0.0
0,2.0,( calc-fraction-of-friends (( get-patch-to-evaluate  ) )  ) ,0.006147884262307652,1.0,0.0,0.0,0.0,0.0,0.0
0,2.0,( calc-fraction-of-friends (( get-patch-to-evaluate  ) )  ) ,0.004985488651115509,1.0,0.0,0.0,0.0,0.0,0.0
0,2.0,( calc-fraction-of-friends (( get-patch-to-evaluate  ) )  ) ,0.00795228695148376,1.0,0.0,0.0,0.0,0.0,0.0
0,2.0,( calc-fraction-of-friends (( get-patch-to-evaluate  ) )  ) ,0.002818098428471125,1.0,0.0,0.0,0.0,0.0,0.0
0,2.0,( calc-fraction-of-friends (( get-patch-to-evaluate  ) )  ) ,0.00720561179509996,1.0,0.0,0.0,0.0,0.0,0.0
0,2.0,( calc-fraction-of-friends (( get-patch-to-evaluate  ) )  ) ,0.004861956828154375,1.0,0.0,0.0,0.0,0.0,0.0
0,3.0,( combine (( neighborhood-isolation (( get-patch-to-evaluate  ) )  ) ) (( calc-fraction-of-friends (( get-patch-to-evaluate  ) )  ) )  ) ,0.0040236822425111975,1.0,0.0,0.0,0.0,0.0,1.0
0,3.0,( calc-fraction-of-friends (( get-patch-to-evaluate  ) )  ) ,0.0020671665599701974,1.0,0.0,0.0,0.0,0.0,0.0
0,3.0,( calc-fraction-of-friends (( get-patch-to-evaluate  ) )  ) ,0.006494326445682771,1.0,0.0,0.0,0.0,0.0,0.0
0,3.0,( calc-fraction-of-friends (( get-patch-to-evaluate  ) )  ) ,0.0015002566416087715,1.0,0.0,0.0,0.0,0.0,0.0
0,3.0,( neighborhood-isolation (( get-patch-to-evaluate  ) )  ) ,0.0,0.0,0.0,0.0,0.0,0.0,1.0
0,3.0,( combine (( calc-fraction-of-friends (( get-patch-to-evaluate  ) )  ) ) (( calc-fraction-of-friends (( get-patch-to-evaluate  ) )  ) )  ) ,0.0022759120522733212,2.0,0.0,0.0,0.0,0.0,0.0
0,3.0,( combine (( mean-home-utility-of-neighborhood (( get-patch-to-evaluate  ) )  ) ) (( calc-fraction-of-friends (( get-patch-to-evaluate  ) )  ) )  ) ,0.02330695704120775,1.0,0.0,1.0,0.0,0.0,0.0
0,3.0,( combine (( neighborhood-isolation (( get-patch-to-evaluate  ) )  ) ) (( calc-fraction-of-friends (( get-patch-to-evaluate  ) )  ) )  ) ,0.007302783244060643,1.0,0.0,0.0,0.0,0.0,1.0
0,3.0,( calc-fraction-of-friends (( get-patch-to-evaluate  ) )  ) ,0.0036088185351910522,1.0,0.0,0.0,0.0,0.0,0.0
0,3.0,( calc-fraction-of-friends (( get-patch-to-evaluate  ) )  ) ,0.004214549452053286,1.0,0.0,0.0,0.0,0.0,0.0
0,3.0,( combine (( neighborhood-isolation (( get-patch-to-evaluate  ) )  ) ) (( calc-fraction-of-friends (( get-patch-to-evaluate  ) )  ) )  ) ,0.010124640930921715,1.0,0.0,0.0,0.0,0.0,1.0
0,3.0,( combine (( mean-home-utility-of-neighborhood (( get-patch-to-evaluate  ) )  ) ) (( calc-fraction-of-friends (( get-patch-to-evaluate  ) )  ) )  ) ,0.02214165006526661,1.0,0.0,1.0,0.0,0.0,0.0
0,3.0,( calc-fraction-of-friends (( get-patch-to-evaluate  ) )  ) ,0.0016770786208895154,1.0,0.0,0.0,0.0,0.0,0.0
0,3.0,( calc-fraction-of-friends (( get-patch-to-evaluate  ) )  ) ,0.0024731137454668075,1.0,0.0,0.0,0.0,0.0,0.0
0,3.0,( combine (( mean-home-utility-of-neighborhood (( get-patch-to-evaluate  ) )  ) ) (( calc-fraction-of-friends (( get-patch-to-evaluate  ) )  ) )  ) ,0.022205639039116647,1.0,0.0,1.0,0.0,0.0,0.0
0,3.0,( calc-fraction-of-friends (( get-patch-to-evaluate  ) )  ) ,0.004852554238168353,1.0,0.0,0.0,0.0,0.0,0.0
0,3.0,( mean-home-utility-of-neighborhood (( get-patch-to-evaluate  ) )  ) ,0.0,0.0,0.0,1.0,0.0,0.0,0.0
0,3.0,( combine (( calc-fraction-of-friends (( get-patch-to-evaluate  ) )  ) ) (( calc-fraction-of-friends (( get-patch-to-evaluate  ) )  ) )  ) ,0.004255284801335641,2.0,0.0,0.0,0.0,0.0,0.0
0,3.0,( calc-fraction-of-friends (( get-patch-to-evaluate  ) )  ) ,0.003658982009941242,1.0,0.0,0.0,0.0,0.0,0.0
0,3.0,( combine (( mean-home-utility-of-neighborhood (( get-patch-to-evaluate  ) )  ) ) (( calc-fraction-of-friends (( get-patch-to-evaluate  ) )  ) )  ) ,0.022149083083393858,1.0,0.0,1.0,0.0,0.0,0.0
0,4.0,( combine (( mean-home-utility-of-neighborhood (( get-patch-to-evaluate  ) )  ) ) (( combine (( mean-home-utility-of-neighborhood (( get-patch-to-evaluate  ) )  ) ) (( calc-fraction-of-friends (( get-patch-to-evaluate  ) )  ) )  ) )  ) ,0.0018703855168626226,1.0,0.0,2.0,0.0,0.0,0.0
0,4.0,( calc-fraction-of-friends (( get-patch-to-evaluate  ) )  ) ,0.003444194742107866,1.0,0.0,0.0,0.0,0.0,0.0
